image_path,timepoint,group,subject_id,slice_idx,has_label,mask_path,mask_valid
1 Week/Combined/Combined 1/Slice 18.png,1 Week,Combined,Combined 1,18,False,,False
1 Week/Combined/Combined 1/Slice 19.png,1 Week,Combined,Combined 1,19,True,data/masks_raw/Combined_1_Slice19_mask.png,True
1 Week/Combined/Combined 1/Slice 20.png,1 Week,Combined,Combined 1,20,False,,False
1 Week/Combined/Combined 1/Slice 21.png,1 Week,Combined,Combined 1,21,False,,False
1 Week/Combined/Combined 1/Slice 22.png,1 Week,Combined,Combined 1,22,False,,False
1 Week/Combined/Combined 1/Slice 23.png,1 Week,Combined,Combined 1,23,False,,False
1 Week/Combined/Combined 2/Slice 19.png,1 Week,Combined,Combined 2,19,False,,False
1 Week/Combined/Combined 2/Slice 20.png,1 Week,Combined,Combined 2,20,False,,False
1 Week/Combined/Combined 2/Slice 21.png,1 Week,Combined,Combined 2,21,False,,False
1 Week/Combined/Combined 2/Slice 22.png,1 Week,Combined,Combined 2,22,False,,False
1 Week/Combined/Combined 2/Slice 23.png,1 Week,Combined,Combined 2,23,False,,False
1 Week/Combined/Combined 2/Slice 24.png,1 Week,Combined,Combined 2,24,False,,False
1 Week/Combined/Combined 3/Slice 19.png,1 Week,Combined,Combined 3,19,False,,False
1 Week/Combined/Combined 3/Slice 20.png,1 Week,Combined,Combined 3,20,False,,False
1 Week/Combined/Combined 3/Slice 21.png,1 Week,Combined,Combined 3,21,False,,False
1 Week/Combined/Combined 3/Slice 22.png,1 Week,Combined,Combined 3,22,False,,False
1 Week/Combined/Combined 3/Slice 23.png,1 Week,Combined,Combined 3,23,False,,False
1 Week/Combined/Combined 4/Slice 19.png,1 Week,Combined,Combined 4,19,False,,False
1 Week/Combined/Combined 4/Slice 20.png,1 Week,Combined,Combined 4,20,False,,False
1 Week/Combined/Combined 4/Slice 21.png,1 Week,Combined,Combined 4,21,False,,False
1 Week/Combined/Combined 4/Slice 22.png,1 Week,Combined,Combined 4,22,False,,False
1 Week/Combined/Combined 4/Slice 23.png,1 Week,Combined,Combined 4,23,False,,False
1 Week/Combined/Combined 5/Slice 19.png,1 Week,Combined,Combined 5,19,False,,False
1 Week/Combined/Combined 5/Slice 20.png,1 Week,Combined,Combined 5,20,False,,False
1 Week/Combined/Combined 5/Slice 21.png,1 Week,Combined,Combined 5,21,False,,False
1 Week/Combined/Combined 5/Slice 22.png,1 Week,Combined,Combined 5,22,False,,False
1 Week/Combined/Combined 5/Slice 23.png,1 Week,Combined,Combined 5,23,False,,False
1 Week/Combined/Combined 6/Slice 17.png,1 Week,Combined,Combined 6,17,False,,False
1 Week/Combined/Combined 6/Slice 18.png,1 Week,Combined,Combined 6,18,False,,False
1 Week/Combined/Combined 6/Slice 19.png,1 Week,Combined,Combined 6,19,False,,False
1 Week/Combined/Combined 6/Slice 20.png,1 Week,Combined,Combined 6,20,False,,False
1 Week/Combined/Combined 6/Slice 21.png,1 Week,Combined,Combined 6,21,False,,False
1 Week/Combined/Combined 7/Slicce 22.png,1 Week,Combined,Combined 7,22,False,,False
1 Week/Combined/Combined 7/Slice 17.png,1 Week,Combined,Combined 7,17,False,,False
1 Week/Combined/Combined 7/Slice 18.png,1 Week,Combined,Combined 7,18,False,,False
